
development,gdb,GNU Debugger
development,perf,Performance analysis tools
development,ninja,Small build system
development,go,Go programming language
development,rustup,Rust toolchain installer

media,spotify,Music streaming client
media,youtube-dl,YouTube downloader
media,mpd,Music Player Daemon
media,ncmpcpp,NCurses MPD client

diagram,diagram-tools,Diagramming tools category
video,video-tools,Video tools category
games,gaming-tools,Gaming tools category
crypt,encryption-tools,Encryption tools category
backup,backup-tools,Backup tools category
